Номер_групи;Назва_групи;Назва_групи_укр;Ідентифікатор_групи;Номер_батьківської_групи;Ідентифікатор_батьківської_групи;HTML_заголовок_групи;HTML_заголовок_групи_укр;HTML_опис_групи;HTML_опис_групи_укр;Опис_групи_до_списку_товарних_позицій;Опис_групи_до_списку_товарних_позицій_укр;Опис_групи_після_списку_товарних_позицій;Опис_групи_після_списку_товарних_позицій_укр;Посилання_зображення_групи
81148480;Трибулус;Трибулус;81148480;136052690;136052690;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Трибулус - это растение, известное как природный стимулятор тестостерона. Его принимают для увеличения мышечной массы, улучшения спортивных достижений, повышения либидо и улучшения общего здоровья. Обычно его принимают спортсмены, бодибилдеры и люди, страдающие от низкого уровня тестостерона.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Трибулус &ndash; це рослина, відома як природний стимулятор тестостерону. Його приймають для збільшення м&#39;язової маси, покращення спортивних досягнень, підвищення лібідо та покращення загального здоров&#39;я. Зазвичай його приймають спортсмени, бодібілдери та люди, які страждають від низького рівня тестостерону.</span></p>";;;https://images.prom.ua/3229513004_tribulus.jpg
81148518;Тестостероновые бустеры;Тестостеронові бустери;81148518;136052690;136052690;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Тестостероновые бустеры &ndash; это вещества или добавки, которые могут помочь увеличить уровень тестостерона в организме. Они часто принимаются для улучшения спортивной производительности, увеличения мышечной массы, повышения сексуального влечения, улучшения настроения и энергии.&nbsp;</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Тестостеронові бустери &ndash; це речовини чи добавки, які можуть допомогти збільшити рівень тестостерону в організмі. Вони часто приймаються для покращення спортивної продуктивності, збільшення м&#39;язової маси, підвищення сексуального потягу, покращення настрою та енергії.</span></p>";;;https://images.prom.ua/3229515483_testosteronovye-bustery.jpg
81148522;ZMA;ZMA;81148522;136052690;136052690;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Спортивная добавка ZMA - это сочетание цинка, магния и витамина B6, которое обычно используется спортсменами и людьми, занимающимися физической активностью, для улучшения сна, поддержания иммунной системы, увеличения мышечной массы и снижения уровня стресса. Прием ZMA также может помочь в восстановлении мышц после тренировок и улучшении общего здоровья организма.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Спортивна добавка ZMA - це поєднання цинку, магнію та вітаміну B6, яке зазвичай використовується спортсменами та людьми, які займаються фізичною активністю, для покращення сну, підтримки імунної системи, збільшення м&#39;язової маси та зниження рівня стресу. Прийом ZMA також може допомогти у відновленні м&#39;язів після тренувань та покращення загального здоров&#39;я організму.</span></p>";;;https://images.prom.ua/3229521656_zma.jpg
81148523;Препараты для восстановления;Препарати для відновлення після тренування;81148523;136052686;136052686;;;;;;;;;https://images.prom.ua/2136151920_preparaty-dlya-vosstanovleniya.jpg
81148525;Мелатонин;Мелатонін;81148525;136262458;136262458;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Мелатонин - это гормон, который вырабатывается шишковидной железой в мозге и регулирует сон и бодрствование. В виде добавки его принимают для улучшения сна, преодоления бессонницы и борьбы со стрессом. Польза мелатонина для организма включает восстановление циркадных ритмов, улучшение настроения, защиту от свободных радикалов, антиоксидантные свойства и даже помощь в профилактике болезней, таких как рак и сердечно-сосудистые заболевания.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Мелатонін - це гормон, який виробляється шишковидною залозою в мозку і регулює сон і неспання. У вигляді добавки його приймають для покращення сну, подолання безсоння та боротьби зі стресом. Користь мелатоніну для організму включає відновлення циркадних ритмів, покращення настрою, захист від вільних радикалів, антиоксидантні властивості і навіть допомогу у профілактиці хвороб, таких як рак та серцево-судинні захворювання.</span></p>";;;https://images.prom.ua/3229524565_melatonin.jpg
81148526;ГАМК (GABA);ГАМК (GABA);81148526;81304217;81304217;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">ГАМК (гамма-аминомасляная кислота) является нейротрансмиттером, который играет важную роль в работе нервной системы. Добавка ГАМК обычно используется для улучшения настроения, сна и уменьшения тревоги. Она также может помочь снизить кровяное давление и улучшить фокусировку. ГАМК способствует расслаблению и уменьшению стресса, что благоприятно сказывается на общем состоянии организма. Однако, перед началом приема ГАМК добавки, важно проконсультироваться с врачом, чтобы убедиться, что она не противопоказана в вашем случае и дозировка правильная. В целом, ГАМК добавка может быть полезным средством для поддержания здоровья нервной системы и улучшения общего состояния организма.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">ГАМК (гамма-аміномасляна кислота) є нейротрансмітером, який відіграє важливу роль у роботі нервової системи. Добавка ГАМК зазвичай використовується для покращення настрою, сну та зменшення тривоги. Вона також може допомогти знизити кров&#39;яний тиск та покращити фокусування. ГАМК сприяє розслабленню та зменшенню стресу, що сприятливо позначається на загальному стані організму. Однак, перед початком прийому ГАМК добавки важливо проконсультуватися з лікарем, щоб переконатися, що вона не протипоказана у вашому випадку і дозування правильне. В цілому, ГАМК добавка може бути корисним засобом для підтримки здоров&#39;я нервової системи та покращення загального стану організму.</span></p>";;;https://images.prom.ua/3229525713_gamk-gaba.jpg
81148528;Триптофан;Триптофан;81148528;81148523;81148523;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">HTP-триптофан - это простой аминокислотный препарат, часто используемый в качестве диетической добавки. Он является предшественником серотонина и мелатонина, веществ, отвечающих за настроение и цикл сна-бодрствования. 5-HTP принимают для улучшения настроения, снижения уровня стресса, поддержания здорового сна и контроля аппетита.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">HTP-триптофан - це простий амінокислотний препарат, що часто використовується як дієтична добавка. Він є попередником серотоніну та мелатоніну, речовин, які відповідають за настрій та цикл сну-неспання. 5-HTP приймають для покращення настрою, зниження рівня стресу, підтримки здорового сну та контролю апетиту.</span></p>";;;https://images.prom.ua/3229531551_triptofan.jpg
81148530;Заменители питания;Замінники харчування;81148530;136052686;136052686;;;;;;;;;https://images.prom.ua/2136153189_zameniteli-pitaniya.jpg
81148962;Мультивитамины без железа;Мультивітаміни без заліза;81148962;136262364;136262364;;;;;;;;;https://images.prom.ua/3228972197_multivitaminy-bez-zheleza.jpg
81148963;Мультивитамины и минералы;Мультивітаміни та мінерали;81148963;136262364;136262364;;;;;;;;;https://images.prom.ua/3228969116_multivitaminy-i-mineraly.jpg
81148965;Жевательные мультивитамины;Жувальні мультивітаміни;81148965;136262364;136262364;;;;;;;;;https://images.prom.ua/3228965921_zhevatelnye-multivitaminy.jpg
81148969;Alive витамины;Alive вітаміни;81148969;136262364;136262364;;;;;;;;;https://images.prom.ua/3228962904_alive-vitaminy.jpg
81148976;Витамины для детей;Вітаміни для дітей;81148976;136052057;136052057;;;;;;;;;https://images.prom.ua/2133416204_vitaminy-dlya-detej.jpg
81148978;Витамины для грудничков;Вітаміни для немовлят;81148978;81148976;81148976;;;;;;;;;https://images.prom.ua/3228979715_vitaminy-dlya-grudnichkov.jpg
81149001;Витамины для подростков;Вітаміни для підлітків;81149001;81148976;81148976;;;;;;;;;https://images.prom.ua/3228986327_vitaminy-dlya-podrostkov.jpg
81149041;Спортивные витамины для мужчин;Спортивні вітаміни для чоловіків;81149041;136262371;136262371;;;;;;;;;https://images.prom.ua/6167720636_sportivnye-vitaminy-dlya.jpg
81149094;Витамины для мужчин после 40;Вітаміни для чоловіків після 40;81149094;136262371;136262371;;;;;;;;;https://images.prom.ua/3228989212_vitaminy-dlya-muzhchin.jpg
81149096;Витамины для потенции;Вітаміни для потенції;81149096;136262371;136262371;;;;;;;;;https://images.prom.ua/3228991816_vitaminy-dlya-potentsii.jpg
81149097;Витамины при простатите;Вітаміни під час простати;81149097;136262371;136262371;;;;;;;;;https://images.prom.ua/6167720753_vitaminy-pri-prostatite.jpg
81149443;Витаминные комплексы для мужчин;Вітамінні комплекси для чоловіків;81149443;136262371;136262371;;;;;;;;;https://images.prom.ua/3228995553_vitaminnye-kompleksy-dlya.jpg
81149480;Витамины для женщин;Вітаміни для жінок;81149480;136052057;136052057;;;;;;;;;https://images.prom.ua/2133432862_vitaminy-dlya-zhenschin.jpg
81149489;Витамины для женщин после 30;Вітаміни для жінок після 30;81149489;81149480;81149480;;;;;"<p style=""text-align:center"">После 30 лет женщинам особенно важно уделять внимание своему здоровью и правильному питанию, включая употребление необходимых витаминов и минералов. Важными витаминами для женщин после 30 лет являются витамин D, витамин В12, витамин К2, витамин Е и витамин С.&nbsp;</p>
<p style=""text-align:center"">Витамин D помогает улучшить здоровье костей и иммунную систему, что особенно важно для женщин после 30 лет. Витамин В12 помогает поддерживать здоровье нервной системы и улучшает обмен веществ. Витамин К2 играет ключевую роль в здоровье сердца и костей. Витамин Е помогает защищать клетки от повреждений и улучшает состояние кожи. Витамин С повышает иммунитет и улучшает усвоение железа.</p>
<p style=""text-align:center"">Важно помнить, что перед началом приема любых витаминов женщина должна проконсультироваться с врачом или диетологом, чтобы подобрать оптимальную дозировку и убедиться в их необходимости для конкретного организма. Регулярное употребление нужных витаминов поможет поддерживать здоровье и энергию женщин после 30 лет.</p>";"<p style=""text-align:center"">Після 30 років жінкам особливо важливо приділяти увагу своєму здоров&#39;ю та правильному харчуванню, включаючи вживання необхідних вітамінів та мінералів. Важливими вітамінами для жінок після 30 років є вітамін D, вітамін В12, вітамін К2, вітамін Е та вітамін С.</p>
<p style=""text-align:center"">Вітамін D допомагає покращити здоров&#39;я кісток та імунну систему, що особливо важливо для жінок після 30 років. Вітамін В12 допомагає підтримувати здоров&#39;я нервової системи та покращує обмін речовин. Вітамін К2 відіграє ключову роль у здоров&#39;ї серця та кісток. Вітамін Е допомагає захищати клітини від пошкоджень та покращує стан шкіри. Вітамін С підвищує імунітет та покращує засвоєння заліза.</p>
<p style=""text-align:center"">Важливо пам&#39;ятати, що перед початком прийому будь-яких вітамінів жінка повинна проконсультуватися з лікарем або дієтологом, щоб підібрати оптимальне дозування та переконатися в їхній потребі для конкретного організму. Регулярне вживання потрібних вітамінів допоможе підтримувати здоров&#39;я та енергію жінок після 30 років.</p>";;;https://images.prom.ua/3229004266_vitaminy-dlya-zhenschin.jpg
81149493;Витамины для женщин после 50;Вітаміни для жінок після 50;81149493;81149480;81149480;;;;;"<p style=""text-align:center"">Женщинам после 50 лет рекомендуется употреблять разнообразные витамины для поддержания здоровья и организма в целом. Важно учитывать индивидуальные особенности организма и консультироваться с врачом перед началом приема витаминов.&nbsp;</p>
<p style=""text-align:center"">Одним из важных витаминов для женщин после 50 лет является витамин D, который помогает укрепить кости и поддерживать иммунитет. Витамин B12 важен для работы нервной системы, а витамин Е способствует замедлению процессов старения кожи.&nbsp;</p>
<p style=""text-align:center"">Кроме того, женщинам старше 50 лет рекомендуется употребление витамина С, который является мощным антиоксидантом и помогает бороться с воспалениями. Витамин К необходим для здоровья костей и сосудов, а витамин А поддерживает зрение и кожу.&nbsp;</p>
<p style=""text-align:center"">Не забывайте о важности правильного питания и физических упражнений для поддержания здоровья в зрелом возрасте.</p>";"<p style=""text-align:center"">Жінкам після 50 років рекомендується вживати різноманітні вітаміни для підтримки здоров&#39;я та організму загалом. Важливо враховувати індивідуальні особливості організму та консультуватися з лікарем перед початком прийому вітамінів.</p>
<p style=""text-align:center"">Одним із важливих вітамінів для жінок після 50 років є вітамін D, який допомагає зміцнити кістки та підтримувати імунітет. Вітамін B12 важливий для роботи нервової системи, а вітамін Е сприяє уповільненню процесів старіння шкіри.</p>
<p style=""text-align:center"">Крім того, жінкам старше 50 років рекомендується вживання вітаміну С, який є потужним антиоксидантом та допомагає боротися із запаленнями. Вітамін К необхідний здоров&#39;ю кісток і судин, а вітамін А підтримує зір і шкіру.</p>
<p style=""text-align:center"">Не забувайте про важливість правильного харчування та фізичних вправ для підтримки здоров&#39;я у зрілому віці.</p>";;;https://images.prom.ua/6312760188_vitaminy-dlya-zhenschin.jpg
81149531;Витамины для женщин после 40;Вітаміни для жінок після 40;81149531;81149480;81149480;;;;;"<p style=""text-align:center"">После 40 лет женщины должны обращать большее внимание на свое здоровье, включая правильное питание и прием витаминов. Некоторые из основных витаминов, которые рекомендуется принимать женщинам после 40, включают витамин D, который помогает укрепить кости и улучшить иммунитет, витамин В12, который поддерживает нервную систему и обмен веществ, витамин К, который помогает в усвоении кальция и поддерживает костное здоровье, а также витамин С, который является мощным антиоксидантом и участвует в образовании коллагена.</p>";"<p style=""text-align:center"">Після 40 років жінки повинні звертати більшу увагу на своє здоров&#39;я, включаючи правильне харчування та прийом вітамінів. Деякі з основних вітамінів, які рекомендується приймати жінкам після 40, включають вітамін D, який допомагає зміцнити кістки та покращити імунітет, вітамін В12, який підтримує нервову систему та обмін речовин, вітамін К, який допомагає у засвоєнні кальцію та підтримує кісткове здоров&#39;я, а також вітамін С, який є потужним антиоксидантом та бере участь в утворенні колагену.</p>";;;https://images.prom.ua/3890397725_vitaminy-dlya-zhenschin.jpg
81149534;Комплекс витаминов для женщин;Комплекс вітамінів для жінок;81149534;81149480;81149480;;;;;;;;;https://images.prom.ua/3229006633_kompleks-vitaminov-dlya.jpg
81149539;Витамины для беременных и кормящих;Вітаміни для вагітних і жінок, які годують груддю;81149539;81149480;81149480;;;;;"<p style=""text-align:center"">Беременным женщинам важно употреблять достаточное количество витаминов для поддержания своего здоровья и здоровья ребенка. Один из самых важных витаминов для беременных - фолиевая кислота (витамин В9), которая помогает в процессе развития плода и предотвращает различные пороки развития. Также необходимо обратить внимание на витамин D, который помогает в усвоении кальция, необходимого для развития костей и зубов у ребенка. Витамин С укрепляет иммунную систему и помогает в усвоении железа. Витамины группы В также важны для поддержания нормального обмена веществ. Кормящим женщинам также рекомендуется употреблять данные витамины, чтобы обеспечить правильное развитие ребенка и сохранить свое здоровье. Но прежде чем начать принимать какие-либо витамины, необходимо проконсультироваться с врачом, чтобы избежать возможных побочных эффектов.</p>";"<p style=""text-align:center"">Вагітним жінкам важливо вживати достатню кількість вітамінів для підтримки свого здоров&#39;я та здоров&#39;я дитини. Один із найважливіших вітамінів для вагітних &ndash; фолієва кислота (вітамін В9), яка допомагає у процесі розвитку плоду та запобігає різноманітним вадам розвитку. Також необхідно звернути увагу на вітамін D, який допомагає у засвоєнні кальцію, необхідного для розвитку кісток та зубів у дитини. Вітамін С зміцнює імунну систему та допомагає у засвоєнні заліза. Вітаміни групи В також є важливими для підтримки нормального обміну речовин. Годуючим жінкам також рекомендується вживати ці вітаміни, щоб забезпечити правильний розвиток дитини і зберегти своє здоров&#39;я. Але перш ніж почати приймати якісь вітаміни, необхідно проконсультуватися з лікарем, щоб уникнути можливих побічних ефектів.</p>";;;https://images.prom.ua/2133436213_vitaminy-dlya-beremennyh.jpg
81149642;Витамины для вегетарианцев;Вітаміни для вегетаріанців;81149642;136262371;136262371;;;;;;;;;https://images.prom.ua/2133438991_vitaminy-dlya-vegetariantsev.jpg
81149986;Витамины для энергии;Вітаміни для енергії;81149986;136052057;136052057;;;;;;;;;https://images.prom.ua/2133443372_vitaminy-dlya-energii.jpg
81149989;Витамины А;Вітаміни А;81149989;136052057;136052057;;;;;;;;;https://images.prom.ua/2133457289_vitaminy-a.jpg
81149997;Витамин А ретинол;Вітамін А ретинол;81149997;81149989;81149989;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Витамин А, также известный как ретинол, играет важную роль в поддержании здоровья глаз, кожи и иммунной системы. Он необходим для поддержания здорового зрения, особенно в слабом освещении, а также для укрепления иммунитета и защиты от инфекций. Витамин А способствует регенерации клеток кожи, делая ее упругой и здоровой. Кроме того, он необходим для нормального роста и развития организма. Недостаток витамина А может привести к проблемам с зрением, сухой кожей и повышенной уязвимости к инфекциям.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Вітамін А, також відомий як ретинол, відіграє важливу роль у підтримці здоров&#39;я очей, шкіри та імунної системи. Він необхідний для підтримання здорового зору, особливо при слабкому освітленні, а також для зміцнення імунітету і захисту від інфекцій. Вітамін А сприяє регенерації клітин шкіри, роблячи її пружною і здоровою. Крім того, він необхідний для нормального росту і розвитку організму. Нестача вітаміну А може призвести до проблем із зором, сухої шкіри та підвищеної вразливості до інфекцій.</span></p>";;;https://images.prom.ua/3229019009_vitamin-a-retinol.jpg
81150101;Витамин В1 (Тиамин);Вітамін В1 (Тіамін);81150101;136277486;136277486;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Витамин В1, также известный как тиамин, является важным питательным веществом, необходимым для правильной работы организма. Он способствует нормальному функционированию нервной системы, помогает в преобразовании углеводов в энергию, участвует в образовании красных кровяных телец.&nbsp;</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Вітамін В1, також відомий як тіамін, є важливою поживною речовиною, необхідною для правильної роботи організму. Він сприяє нормальному функціонуванню нервової системи, допомагає в перетворенні вуглеводів на енергію, бере участь в утворенні червоних кров&#39;яних тілець.&nbsp;</span></p>";;;https://images.prom.ua/3229020977_vitamin-v1-tiamin.jpg
81150106;Витамин В2 (Рибофлавин);Вітамін В2 (Рибофлавін);81150106;136277486;136277486;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Витамин В2, или рибофлавин, является важным питательным веществом, необходимым для поддержания здоровья. Он участвует в процессах обмена веществ, способствует нормальному функционированию нервной системы, кожи, глаз и слизистых оболочек. Рибофлавин помогает организму преобразовывать пищу в энергию, участвует в синтезе красной кровяной клетки.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Вітамін В2, або рибофлавін, є важливою поживною речовиною, необхідною для підтримання здоров&#39;я. Він бере участь у процесах обміну речовин, сприяє нормальному функціонуванню нервової системи, шкіри, очей і слизових оболонок. Рибофлавін допомагає організму перетворювати їжу на енергію, бере участь у синтезі червоної кров&#39;яної клітини.</span></p>";;;https://images.prom.ua/3229022655_vitamin-v2-riboflavin.jpg
81150108;Витамин В3;Вітамін В3;81150108;136277486;136277486;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Витамин В3, который также известен как ниацин, играет важную роль в организме. Он помогает поддерживать здоровье кожи, нервов и пищеварительной системы. Витамин В3 способствует образованию энергии в клетках, улучшает кровообращение и понижает уровень холестерина.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Вітамін В3, який також відомий як ніацин, відіграє важливу роль в організмі. Він допомагає підтримувати здоров&#39;я шкіри, нервів і травної системи. Вітамін В3 сприяє утворенню енергії в клітинах, покращує кровообіг і знижує рівень холестерину.</span></p>";;;https://images.prom.ua/3229023851_vitamin-v3.jpg
81150111;Холин (Витамин В4);Холін (Вітамін В4);81150111;136277486;136277486;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Холин, известный как витамин В4, является важным питательным веществом, необходимым для нормального функционирования организма. Он играет ключевую роль в формировании клеточных мембран, передаче нервных импульсов и метаболизме жиров. Холин также необходим для производства ацетилхолина, нейромедиатора, который участвует в памяти, мышечных сокращениях и других процессах.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Холін, відомий як вітамін В4, є важливою поживною речовиною, необхідною для нормального функціонування організму. Він відіграє ключову роль у формуванні клітинних мембран, передачі нервових імпульсів і метаболізмі жирів. Холін також необхідний для виробництва ацетилхоліну, нейромедіатора, який бере участь у пам&#39;яті, м&#39;язових скороченнях та інших процесах.</span></p>";;;https://images.prom.ua/3229025365_holin-vitamin-v4.jpg
81150112;Витамин В5 (Пантотеновая кислота);Вітамін В5 (Пантотенова кислота);81150112;136277486;136277486;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Витамин В5, или пантотеновая кислота, играет важную роль в метаболизме углеводов, жиров и белков, помогает улучшить состояние кожи, волос и ногтей, участвует в синтезе гормонов и антител, поддерживает здоровье нервной системы. Этот витамин также способствует образованию ацетилхолина, который влияет на функцию мозга и память. Пантотеновая кислота помогает снизить уровень холестерина в крови и улучшить работу сердечно-сосудистой системы.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Вітамін В5, або пантотенова кислота, відіграє важливу роль у метаболізмі вуглеводів, жирів і білків, допомагає поліпшити стан шкіри, волосся і нігтів, бере участь у синтезі гормонів і антитіл, підтримує здоров&#39;я нервової системи. Цей вітамін також сприяє утворенню ацетилхоліну, який впливає на функцію мозку та пам&#39;ять. Пантотенова кислота допомагає знизити рівень холестерину в крові та поліпшити роботу серцево-судинної системи.</span></p>";;;https://images.prom.ua/3229027579_vitamin-v5-pantotenovaya.jpg
81150115;Витамин В6 (Пиридоксин);Вітамін В6 (Піридоксин);81150115;136277486;136277486;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Витамин В6, или пиридоксин, играет важную роль в организме человека. Он необходим для нормального функционирования нервной системы, участвует в обмене белков, жиров и углеводов, помогает в образовании красных кровяных клеток, поддерживает здоровье кожи, волос и ногтей. Недостаток витамина В6 может привести к проблемам с памятью, анемии, раздражительности.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Вітамін В6, або піридоксин, відіграє важливу роль в організмі людини. Він необхідний для нормального функціонування нервової системи, бере участь в обміні білків, жирів і вуглеводів, допомагає в утворенні червоних кров&#39;яних клітин, підтримує здоров&#39;я шкіри, волосся і нігтів. Нестача вітаміну В6 може призвести до проблем із пам&#39;яттю, анемії, дратівливості.</span></p>";;;https://images.prom.ua/3229028639_vitamin-v6-piridoksin.jpg
81150117;Фолиевая кислота (витамин B9);Фолієва кислота (вітамін В9);81150117;136277486;136277486;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Фолиевая кислота, или витамин B9, играет важную роль в организме человека, особенно в периоды роста и беременности. Ее основная функция - поддерживать здоровье крови и обеспечивать правильное развитие нервной системы плода. Фолиевая кислота участвует в процессе деления клеток, синтезе ДНК и РНК, помогает сохранить здоровье сердечно-сосудистой системы и поддерживает иммунитет.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Фолієва кислота, або вітамін B9, відіграє важливу роль в організмі людини, особливо в періоди росту і вагітності. Її основна функція - підтримувати здоров&#39;я крові та забезпечувати правильний розвиток нервової системи плода. Фолієва кислота бере участь у процесі поділу клітин, синтезі ДНК і РНК, допомагає зберегти здоров&#39;я серцево-судинної системи та підтримує імунітет.</span></p>";;;https://images.prom.ua/3229030881_folievaya-kislota-vitamin.jpg
81150120;Витамин В12;Вітамін В12;81150120;136277486;136277486;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Витамин В12, или кобаламин, играет важную роль в организме. Он необходим для образования красных кровяных клеток, синтеза ДНК, нормального функционирования нервной системы и метаболизма.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Вітамін В12, або кобаламін, відіграє важливу роль в організмі. Він необхідний для утворення червоних кров&#39;яних клітин, синтезу ДНК, нормального функціонування нервової системи та метаболізму.</span></p>";;;https://images.prom.ua/3229032692_vitamin-v12.jpg
81150122;Коэнзимный витамин В;Коензимний вітамін В;81150122;136277486;136277486;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Коэнзимный витамин B, или никотинамид аденин динуклеотид (NAD+), играет важную роль в метаболизме, обеспечивая энергией клетки. Он участвует в процессах окислительно-восстановительных реакций, а также регулирует активность некоторых ферментов. Кроме того, NAD+ помогает поддерживать здоровье кожи, улучшает функции мозга и снижает уровень стресса. Его недостаток может привести к проблемам с памятью, утомляемостью и даже повышенному риску развития сердечно-сосудистых заболеваний.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Коензимний вітамін B, або нікотинамід аденін динуклеотид (NAD+), відіграє важливу роль у метаболізмі, забезпечуючи енергією клітини. Він бере участь у процесах окисно-відновних реакцій, а також регулює активність деяких ферментів. Крім того, NAD+ допомагає підтримувати здоров&#39;я шкіри, покращує функції мозку і знижує рівень стресу. Його дефіцит може призвести до проблем із пам&#39;яттю, стомлюваністю і навіть підвищеного ризику розвитку серцево-судинних захворювань.</span></p>";;;https://images.prom.ua/3229036244_koenzimnyj-vitamin-v.jpg
81150124;Комплекс витаминов группы В;Комплекс вітамінів групи B;81150124;136277486;136277486;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Комплекс витаминов группы В играет ключевую роль в поддержании здоровья организма. Они необходимы для нормального функционирования метаболизма, нервной системы, кожи, волос и клеток. Витамины B участвуют в процессах преобразования пищи в энергию, поддерживают здоровье сердца и мозга, улучшают память и настроение. Они также способствуют укреплению иммунитета и росту новых клеток. Недостаток витаминов группы В может привести к различным заболеваниям, включая анемию и нервные расстройства.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Комплекс вітамінів групи В відіграє ключову роль у підтримці здоров&#39;я організму. Вони необхідні для нормального функціонування метаболізму, нервової системи, шкіри, волосся і клітин. Вітаміни B беруть участь у процесах перетворення їжі на енергію, підтримують здоров&#39;я серця і мозку, покращують пам&#39;ять і настрій. Вони також сприяють зміцненню імунітету та росту нових клітин. Дефіцит вітамінів групи В може призвести до різних захворювань, включно з анемією та нервовими розладами.</span></p>";;;https://images.prom.ua/3229037823_kompleks-vitaminov-gruppy.jpg
